Year,Month,Day,Kp_00_03,Kp_03_06,Kp_06_09,Kp_09_12,Kp_12_15,Kp_15_18,Kp_18_21,Kp_21_24,ap_00_03,ap_03_06,ap_06_09,ap_09_12,ap_12_15,ap_15_18,ap_18_21,ap_21_24,Ap_daily,SunspotNumber,F107_adj
1996,5,1,1.667,2.667,2.0,1.333,1.0,1.0,1.667,1.0,6,12,7,5,4,4,6,4,6,0,68.9
1996,5,2,1.667,1.333,1.667,1.667,2.0,1.333,0.667,1.333,6,5,6,6,7,5,3,5,5,0,69.0
1996,5,3,1.0,2.0,1.0,1.0,2.333,2.0,1.0,2.667,4,7,4,4,9,7,4,12,6,0,69.5
1996,5,4,3.0,2.0,1.0,1.333,2.667,2.333,2.667,2.667,15,7,4,5,12,9,12,12,10,0,70.6
1996,5,5,3.0,2.0,3.0,1.333,1.333,1.0,0.0,0.667,15,7,15,5,5,4,0,3,7,0,72.0
1996,5,6,1.667,1.333,1.0,1.0,1.333,0.333,1.333,1.333,6,5,4,4,5,2,5,5,4,15,76.0
1996,5,7,2.0,0.667,0.333,1.333,1.333,0.667,1.0,1.333,7,3,2,5,5,3,4,5,4,17,76.3
1996,5,8,2.0,2.333,2.0,1.333,0.667,1.0,1.0,0.667,7,9,7,5,3,4,4,3,5,18,77.5
1996,5,9,1.333,2.0,0.333,0.333,1.667,1.667,0.667,1.333,5,7,2,2,6,6,3,5,4,17,77.7
1996,5,10,1.0,2.0,0.667,1.0,1.0,1.0,2.0,1.667,4,7,3,4,4,4,7,6,5,20,79.1
1996,5,11,1.0,1.667,1.0,1.0,2.0,1.0,1.0,0.667,4,6,4,4,7,4,4,3,4,25,78.0
1996,5,12,0.667,0.667,0.667,1.0,0.333,0.667,2.0,2.333,3,3,3,4,2,3,7,9,4,22,75.1
1996,5,13,3.0,2.333,3.667,2.333,3.0,3.0,2.333,3.0,15,9,22,9,15,15,9,15,14,21,74.3
1996,5,14,3.0,3.0,2.0,2.0,1.667,1.333,2.667,3.667,15,15,7,7,6,5,12,22,11,20,73.4
1996,5,15,0.667,1.333,3.0,1.667,2.333,2.0,3.0,1.0,3,5,15,6,9,7,15,4,8,15,72.5
1996,5,16,2.0,2.333,2.667,1.667,1.333,1.667,3.333,2.0,7,9,12,6,5,6,18,7,9,13,72.6
1996,5,17,2.333,1.667,2.333,3.333,1.0,0.667,1.0,1.667,9,6,9,18,4,3,4,6,7,11,72.9
1996,5,18,0.667,1.333,0.333,0.0,0.333,0.333,0.333,0.0,3,5,2,0,2,2,2,0,2,11,72.0
1996,5,19,0.667,0.333,1.667,2.0,1.667,2.0,3.0,2.333,3,2,6,7,6,7,15,9,7,0,70.4
1996,5,20,3.667,1.0,1.0,1.667,3.0,1.667,2.333,3.0,22,4,4,6,15,6,9,15,10,11,69.6
1996,5,21,3.0,2.0,2.0,2.333,1.667,2.333,2.333,1.0,15,7,7,9,6,9,9,4,8,0,68.5
1996,5,22,0.667,0.667,0.667,0.667,2.0,1.0,1.667,3.0,3,3,3,3,7,4,6,15,6,0,68.1
1996,5,23,1.667,1.667,1.333,0.333,1.333,1.0,0.667,1.0,6,6,5,2,5,4,3,4,4,0,68.9
1996,5,24,1.667,2.333,1.667,1.333,2.0,1.0,3.0,1.667,6,9,6,5,7,4,15,6,7,0,69.0
1996,5,25,1.333,2.667,0.333,1.333,1.333,1.667,1.667,2.333,5,12,2,5,5,6,6,9,6,0,68.7
1996,5,26,2.667,2.333,1.333,1.667,0.667,1.667,0.333,0.333,12,9,5,6,3,6,2,2,6,0,68.7
1996,5,27,0.0,1.0,1.333,1.667,1.667,3.667,3.0,3.0,0,4,5,6,6,22,15,15,9,0,68.4
1996,5,28,1.667,1.0,1.333,0.667,1.0,0.667,0.667,1.0,6,4,5,3,4,3,3,4,4,0,67.8
1996,5,29,1.0,1.333,1.667,3.0,2.333,2.333,2.333,2.333,4,5,6,15,9,9,9,9,8,0,68.3
